chr1	16252	16253	4	0	+
chr1	91428	91429	9	0	+
chr1	104993	104994	10	0	-
chr1	138979	138980	18	0	+
chr1	139238	139239	19	0	+
chr1	181484	181485	23	0	+
chr1	181750	181751	24	0	-
chr1	181808	181809	25	0	-
chr1	181867	181868	26	0	-
chr1	268007	268008	30	0	+
chr1	281557	281558	31	0	-
chr1	494440	494441	61	0	+
chr1	586161	586162	66	0	+
chr1	609391	609392	73	0	+
chr1	609459	609460	74	0	+
chr1	610607	610608	91	0	+
chr1	610675	610676	92	0	+
chr1	610743	610744	93	0	+
chr1	666038	666039	96	0	-
chr1	729346	729347	107	0	+
chr1	778899	778900	111	0	+
chr1	826947	826948	115	0	+
chr1	850560	850561	116	0	-
chr1	858087	858088	118	0	-
chr1	869926	869927	124	0	+
chr1	890756	890757	128	0	+
chr1	904776	904777	129	0	+
chr1	912115	912116	131	0	-
chr1	912763	912764	132	0	+
chr1	919795	919796	137	0	+
chr1	921200	921201	138	0	-
chr1	921254	921255	139	0	+
chr1	923205	923206	140	0	-
chr1	925121	925122	142	0	-
chr1	925704	925705	143	0	+
chr1	931712	931713	145	0	-
chr1	938250	938251	149	0	-
chr1	938307	938308	150	0	-
chr1	945265	945266	156	0	+
chr1	945422	945423	157	0	-
chr1	948324	948325	159	0	-
chr1	951298	951299	161	0	-
chr1	951567	951568	162	0	-
chr1	976216	976217	175	0	-
chr1	984325	984326	179	0	+
chr1	998657	998658	184	0	+
chr1	999192	999193	185	0	+
chr1	1002034	1002035	188	0	-
chr1	1013786	1013787	189	0	+
chr1	1015562	1015563	190	0	+
chr1	1019449	1019450	191	0	+
chr1	1019844	1019845	192	0	-
chr1	1024857	1024858	196	0	-
chr1	1032589	1032590	199	0	+
chr1	1033105	1033106	200	0	+
chr1	1035318	1035319	202	0	-
chr1	1041284	1041285	203	0	-
chr1	1050006	1050007	209	0	-
chr1	1054744	1054745	211	0	-
chr1	1058706	1058707	212	0	+
chr1	1059412	1059413	213	0	-
chr1	1063974	1063975	215	0	+
chr1	1064009	1064010	216	0	-
chr1	1116099	1116100	223	0	-
chr1	1122271	1122272	225	0	+
chr1	1128640	1128641	227	0	-
chr1	1155899	1155900	237	0	+
chr1	1158118	1158119	239	0	+
chr1	1173947	1173948	246	0	-
chr1	1174465	1174466	247	0	-
chr1	1179875	1179876	248	0	+
chr1	1197039	1197040	252	0	-
chr1	1206042	1206043	255	0	-
chr1	1206142	1206143	256	0	+
