motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr7	142459654	142459655	227227	1.374299	+	1.75	N1
chr15	82540554	82540555	78567	3.990655	-	2.17	N1
chr17	9890277	9890278	93117	0.687672	-	2.51	N1
chr4	187671726	187671727	186468	0.2384002	+	2.9	N1
chr11	132312805	132312806	46213	0.1948625	-	3.23	N1
chr2	148674403	148674404	135150	-0.2904991	+	3.44	N1
chr16	33920916	33920917	85838	3.243762	+	3.47	N1
chr8	67866784	67866785	234904	0.6753505	-	3.5	N1
chr9	9942986	9942987	242030	1.222383	-	3.66	N1
chrX	6644604	6644605	253054	0.1751866	-	3.66	N1
chr3	134838796	134838797	170917	0.1609525	+	4.02	N1
chr18	47397873	47397874	108636	0.6362907	+	4.05	N1
chr5	17620844	17620845	188589	0.1268557	+	4.11	N1
chr13	72221540	72221541	61051	2.335408	-	4.26	N1
chr9	16133965	16133966	242300	0.4939651	-	4.29	N1
chr18	61088884	61088885	109681	1.951414	+	4.71	N1
chr16	6335304	6335305	82879	1.847814	+	4.74	N1
chr14	43894734	43894735	65316	1.034295	-	4.77	N1
chr4	147407450	147407451	184302	1.292911	+	4.8	N1
chr18	6522002	6522003	104005	1.220718	-	4.86	N1
chr3	173584319	173584320	173296	0.1967728	+	4.89	N1
chr1	41444440	41444441	6947	2.364206	+	4.98	N1
chrX	26778501	26778502	254364	3.561809	+	5.01	N1
chr20	56200658	56200659	149073	1.73806	-	5.04	N1
chr8	86564493	86564494	235872	0.5097508	-	5.04	N1
chr2	113979769	113979770	132744	0.1453545	-	5.04	N1
chr3	147191960	147191961	171826	0.8058727	-	5.04	N1
chr6	2505831	2505832	200629	1.989132	-	5.14	N1
chr19	19997865	19997866	115654	1.02189	+	5.17	N1
chr7	263788	263789	216305	-0.2475303	+	5.2	N1
chr22	35538979	35538980	157433	0.827615	-	5.29	N1
chrX	83008621	83008622	257636	0.4233364	+	5.29	N1
chr1	247287727	247287728	22345	0.3896105	-	5.29	N1
chrX	138128224	138128225	260454	0.7594579	+	5.32	N1
chr17	9987938	9987939	93137	-0.0550029	-	5.35	N1
chr15	26838941	26838942	72992	1.893144	+	5.35	N1
chr10	125522240	125522241	32666	0.5889369	+	5.35	N1
chr7	57426088	57426089	221486	3.27754	+	5.38	N1
chr20	42483887	42483888	147497	3.22189	+	5.41	N1
chr7	57308797	57308798	221468	0.7007447	+	5.5	N1
chr15	74065932	74065933	77338	2.95983	+	5.53	N1
chr9	36793463	36793464	243504	0.5090018	+	5.65	N1
chr13	82330699	82330700	61514	0.4595593	-	5.65	N1
chr1	21814687	21814688	4128	0.2679818	-	5.71	N1
chrX	33434702	33434703	254603	2.373711	+	5.74	N1
chr5	177457762	177457763	199358	1.480982	+	5.77	N1
chr11	23540238	23540239	36763	2.649804	+	5.8	N1
chr9	26744566	26744567	242818	2.402824	+	5.83	N1
chr14	106349191	106349192	71378	2.7569	-	5.86	N1
chr17	11797966	11797967	93282	1.45081	+	5.86	N1
chr7	72161764	72161765	222235	1.972979	+	5.89	N1
chr11	122108398	122108399	45220	0.9363187	+	5.92	N1
chr14	46651993	46651994	65412	0.9412591	-	5.95	N1
chr18	24514549	24514550	107326	3.191349	+	6.04	N1
chr2	74139154	74139155	129721	0.5301397	-	6.07	N1
chr7	142385638	142385639	227217	2.789878	+	6.16	N1
chr16	50884303	50884304	86500	2.106797	-	6.19	N1
chr17	10628969	10628970	93192	2.565172	+	6.22	N1
chr2	220054097	220054098	139630	0.2309561	+	6.22	N1
chr14	106775089	106775090	71509	1.611606	-	6.28	N1
chr4	9578070	9578071	177461	1.536475	-	6.28	N1
chr8	4787211	4787212	230061	0.3585662	+	6.31	N1
chr2	128469384	128469385	133936	2.663485	+	6.37	N1
chr8	109223405	109223406	237250	1.062876	-	6.43	N1
chr3	79846749	79846750	167496	2.197836	-	6.43	N1
chr9	1009279	1009280	241522	2.778957	-	6.46	N1
chr13	52897619	52897620	60455	0.9493675	+	6.46	N1
chr18	27605418	27605419	107494	1.88196	+	6.46	N1
chr9	134399648	134399649	251014	0.5704	+	6.49	N1
chr11	72667630	72667631	41460	1.607427	-	6.52	N1
chrX	148530655	148530656	260917	0.7292817	+	6.52	N1
chr15	46312325	46312326	74923	1.741385	+	6.52	N1
chrX	22748611	22748612	254131	1.276919	-	6.56	N1
chrX	140141617	140141618	260557	1.304587	-	6.59	N1
chr15	75299417	75299418	77604	3.690546	-	6.59	N1
chr3	110314715	110314716	168634	1.407977	-	6.62	N1
chr10	93126645	93126646	29442	1.754916	+	6.65	N1
chrX	84046586	84046587	257677	1.226572	+	6.68	N1
chr22	49701929	49701930	160105	2.07093	-	6.71	N1
chr8	12182810	12182811	230860	3.476805	-	6.74	N1
chr4	8168423	8168424	177146	0.5136233	-	6.74	N1
chr19	27775060	27775061	117143	1.041689	+	6.77	N1
chr16	7268311	7268312	82925	3.373156	+	6.8	N1
chr9	134689751	134689752	251109	2.864321	+	6.83	N1
chr19	21484087	21484088	115748	0.9906163	+	6.83	N1
chr12	115871876	115871877	55385	0.8043503	-	6.95	N1
chr18	8478859	8478860	104174	2.688903	+	7.01	N1
chr20	59519613	59519614	149586	4.157438	-	7.04	N1
chrX	30570708	30570709	254501	0.7070706	+	7.07	N1
chr9	138126354	138126355	252214	0.686477	+	7.07	N1
chr2	77955150	77955151	129980	1.348728	-	7.07	N1
chr12	130042417	130042418	57020	0.9953565	+	7.1	N1
chrX	145405213	145405214	260778	0.6129281	+	7.1	N1
chr3	189148199	189148200	174299	1.40224	-	7.13	N1
chr14	88168733	88168734	68321	2.333153	-	7.16	N1
chr14	106873158	106873159	71534	0.7330997	+	7.22	N1
chr3	104564248	104564249	168346	0.8225569	+	7.28	N1
chr18	4068747	4068748	103864	2.402399	-	7.37	N1
chr1	175338726	175338727	16657	0.9305227	-	7.49	N1
