motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chrX	11944667	11944668	253449	-0.04363455	+	1.75	N3
chr22	32951343	32951344	157198	-0.1433119	-	2.17	N3
chr4	9045991	9045992	177383	-0.05445094	-	2.51	N3
chr2	72220406	72220407	129530	-0.1799789	+	2.9	N3
chr16	12215914	12215915	83438	-0.2019935	-	3.23	N3
chr16	61149072	61149073	87448	-0.2296399	+	3.44	N3
chr3	21017176	21017177	162741	-0.2103193	+	3.47	N3
chr16	29182012	29182013	85085	-0.1244827	+	3.5	N3
chrX	137432808	137432809	260421	-0.1402875	+	3.66	N3
chr3	165624954	165624955	172867	-0.1341642	+	3.66	N3
chr8	4281125	4281126	230040	-0.1264818	+	4.02	N3
chr15	40323459	40323460	74258	0.06758037	+	4.05	N3
chr7	41892544	41892545	219998	-0.1329869	-	4.11	N3
chr5	147098338	147098339	196743	-0.04076221	+	4.26	N3
chr6	170712972	170712973	212585	0.1027307	-	4.29	N3
chr22	16693953	16693954	154628	-0.0523629	+	4.71	N3
chr16	83113494	83113495	89461	-0.1201201	+	4.74	N3
chrX	97685951	97685952	258162	-0.1543316	+	4.77	N3
chr19	56191326	56191327	121637	-0.1294712	+	4.8	N3
chr20	49909989	49909990	148470	-0.1402875	-	4.86	N3
chr22	29194479	29194480	156647	-0.09621351	-	4.89	N3
chr14	90194133	90194134	68476	0.02906623	+	4.98	N3
chr11	90476613	90476614	42831	-0.2398129	+	5.01	N3
chr14	106875710	106875711	71535	0.323948	-	5.04	N3
chr7	86615921	86615922	223227	-0.03909355	-	5.04	N3
chr2	241595788	241595789	142167	-0.172475	+	5.04	N3
chr13	28754852	28754853	58724	-0.2499858	+	5.04	N3
chr13	26377207	26377208	58497	-0.1394656	+	5.14	N3
chrX	154317582	154317583	261627	-0.1716531	+	5.17	N3
chr15	62848088	62848089	76028	-0.2003248	+	5.2	N3
chr15	81410467	81410468	78439	-0.06413245	+	5.29	N3
chr11	95152174	95152175	43119	-0.1141488	+	5.29	N3
chr11	46278618	46278619	38176	-0.2003248	+	5.29	N3
chrX	131711129	131711130	260009	-0.01763097	+	5.32	N3
chr22	23070310	23070311	155760	-0.1504605	-	5.35	N3
chr3	126737747	126737748	169918	0.1425493	+	5.35	N3
chr8	23528669	23528670	231795	-0.3004936	-	5.35	N3
chr3	83928582	83928583	167631	-0.1130436	-	5.38	N3
chr3	183904599	183904600	173760	-0.08063205	+	5.41	N3
chr20	51966519	51966520	148798	0.05773792	-	5.5	N3
chr1	194936060	194936061	17792	-0.1504605	-	5.53	N3
chr4	22129650	22129651	178221	0.1238986	+	5.65	N3
chr2	235936668	235936669	140999	-0.1824695	+	5.65	N3
